latitude,longitude
52.32819,4.823994
52.3282,4.826397
52.32821,4.828801
52.32822,4.831204
52.32823,4.833608
52.32824,4.836011
52.32825,4.838414
52.32827,4.840817
52.32828,4.843221
52.32829,4.845624
52.3283,4.848028
52.32831,4.850431
52.32832,4.852834
52.32833,4.855238
52.32834,4.857641
52.32835,4.860044
52.32836,4.862448
52.32837,4.864851
52.32838,4.867255
52.3284,4.869658
52.3284,4.872061
52.32841,4.874465
52.32843,4.876868
52.32844,4.879272
52.32845,4.881675
52.32846,4.884079
52.32847,4.886482
52.32848,4.888885
52.32849,4.891288
52.3285,4.893692
52.32851,4.896095
52.32852,4.898499
52.32853,4.900902
52.32854,4.903306
52.32855,4.905709
52.32856,4.908112
52.32857,4.910516
52.32858,4.912919
52.32859,4.915322
52.32859,4.917726
52.32861,4.920129
52.32861,4.922533
52.32862,4.924936
52.32863,4.92734
52.32864,4.929743
52.32865,4.932147
52.32866,4.93455
52.32867,4.936953
52.32868,4.939357
52.32869,4.94176
52.3287,4.944163
52.3287,4.946567
52.32872,4.94897
52.32872,4.951374
52.32873,4.953777
52.32874,4.956181
52.32875,4.958584
52.32876,4.960988
52.32877,4.963391
52.32878,4.965794
52.32878,4.968198
52.32879,4.970601
52.3288,4.973004
52.32881,4.975408
52.32966,4.823976
52.32967,4.826379
52.32968,4.828782
52.32969,4.831186
52.3297,4.833589
52.32972,4.835992
52.32973,4.838396
52.32974,4.840799
52.32975,4.843203
52.32976,4.845606
52.32977,4.84801
52.32978,4.850413
52.32979,4.852817
52.3298,4.85522
52.32981,4.857624
52.32983,4.860027
52.32983,4.862431
52.32985,4.864834
52.32986,4.867238
52.32987,4.869641
52.32988,4.872045
52.32989,4.874448
52.3299,4.876851
52.32991,4.879255
52.32992,4.881658
52.32993,4.884062
52.32994,4.886465
52.32995,4.888869
52.32996,4.891272
52.32997,4.893675
52.32998,4.896079
52.32999,4.898482
52.33,4.900886
52.33001,4.903289
52.33002,4.905693
52.33003,4.908096
52.33004,4.9105
52.33005,4.912903
52.33006,4.915307
52.33007,4.91771
52.33008,4.920114
52.33009,4.922517
52.3301,4.924921
52.3301,4.927324
52.33012,4.929728
52.33012,4.932131
52.33013,4.934535
52.33014,4.936938
52.33015,4.939342
52.33016,4.941745
52.33017,4.944149
52.33018,4.946552
52.33019,4.948956
52.3302,4.951359
52.3302,4.953763
52.33022,4.956166
52.33022,4.95857
52.33023,4.960973
52.33024,4.963377
52.33025,4.96578
52.33026,4.968184
52.33027,4.970587
52.33027,4.972991
52.33028,4.975394
52.33113,4.823956
52.33114,4.82636
52.33115,4.828764
52.33117,4.831167
52.33118,4.833571
52.33119,4.835974
52.3312,4.838378
52.33121,4.840781
52.33122,4.843185
52.33123,4.845588
52.33124,4.847992
52.33125,4.850395
52.33126,4.852799
52.33128,4.855203
52.33129,4.857606
52.3313,4.86001
52.33131,4.862413
52.33132,4.864817
52.33133,4.86722
52.33134,4.869624
52.33135,4.872027
52.33136,4.874431
52.33137,4.876834
52.33138,4.879238
52.33139,4.881641
52.3314,4.884045
52.33141,4.886448
52.33142,4.888852
52.33143,4.891256
52.33144,4.893659
52.33145,4.896063
52.33146,4.898466
52.33147,4.90087
52.33148,4.903274
52.33149,4.905677
52.3315,4.908081
52.33151,4.910484
52.33152,4.912888
52.33153,4.915291
52.33154,4.917695
52.33155,4.920098
52.33156,4.922502
52.33157,4.924905
52.33158,4.927309
52.33159,4.929713
52.3316,4.932116
52.3316,4.93452
52.33162,4.936924
52.33162,4.939327
52.33163,4.94173
52.33164,4.944134
52.33165,4.946537
52.33166,4.948941
52.33167,4.951345
52.33168,4.953748
52.33169,4.956152
52.3317,4.958556
52.3317,4.960959
52.33171,4.963363
52.33172,4.965766
52.33173,4.96817
52.33174,4.970573
52.33175,4.972977
52.33176,4.97538
52.3326,4.823938
52.33261,4.826342
52.33263,4.828745
52.33264,4.831149
52.33265,4.833552
52.33266,4.835956
52.33267,4.83836
52.33268,4.840763
52.3327,4.843167
52.3327,4.845571
52.33271,4.847974
52.33273,4.850378
52.33274,4.852781
52.33275,4.855185
52.33276,4.857588
52.33277,4.859992
52.33278,4.862396
52.33279,4.864799
52.3328,4.867203
52.33281,4.869606
52.33282,4.87201
52.33283,4.874414
52.33284,4.876817
52.33286,4.879221
52.33286,4.881625
52.33287,4.884028
52.33289,4.886432
52.33289,4.888835
52.3329,4.891239
52.33292,4.893643
52.33292,4.896047
52.33294,4.89845
52.33294,4.900854
52.33295,4.903257
52.33297,4.905661
52.33297,4.908065
52.33298,4.910468
52.33299,4.912872
52.333,4.915276
52.33301,4.917679
52.33302,4.920083
52.33303,4.922486
52.33304,4.92489
52.33305,4.927294
52.33306,4.929698
52.33307,4.932101
52.33308,4.934505
52.33309,4.936908
